CCI_var,CCI_class,IPCC_var,IPCC_class,LCCS_var,LCCS_class,LCCS_description
10,rainfed_cropland,1,agriculture,A11,cultivated_managed,rainfed_crops
11,rainfed_cropland,1,agriculture,A11,cultivated_managed,rainfed_crops
12,rainfed_cropland,1,agriculture,A11,cultivated_managed,rainfed_crops
20,irrigated_cropland,1,agriculture,A11,cultivated_managed,irrigated_crops
30,cropmosaic_over50,1,agriculture,A11,cultivated_managed,cultivatedmanaged_primarilyvegetation
40,cropmosaic_under50,1,agriculture,A11,cultivated_managed,cultivatedmanaged
50,treecover_broadleaved_evergreen_over15,2,forest,A12,vegetation_naturalsemi_woody,broadleaved_evergreen_closedtoopen
60,treecover_broadleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,broadleaved_deciduous_closedtoopen
61,treecover_broadleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,broadleaved_deciduous_40-100
62,treecover_broadleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,broadleaved_deciduous_15-40
70,treecover_needleleaved_evergreen_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_evergreen_closedtoopen
71,treecover_needleleaved_evergreen_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_evergreen_40-100
72,treecover_needleleaved_evergreen_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_evergreen_15-40
80,treecover_needleleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_deciduous_closedtoopen
81,treecover_needleleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_deciduous_40-100
82,treecover_needleleaved_deciduous_over15,2,forest,A12,vegetation_naturalsemi_woody,needleleaved_deciduous_15-40
90,treecover_mixed_broadneedle,2,forest,A12,vegetation_naturalsemi_woody,mixed_closedtoopen
100,mosaic_treeshrub_over50,2,forest,A12,vegetation_naturalsemi,vegetation_closedtoopen
160,treecover_flooded_freshbrackish,2,forest,A24,vegetation_naturalsemi_aquatic,broadleaved_flooded
170,treecover_flooded_saline,2,forest,A24,vegetation_naturalsemi_aquatic,broadleaved_flooded_saline
110,mosaic_treeshrub_under50,3,grassland,A12,vegetation_naturalsemi,herbaceous_closedtoopen
130,grassland,3,grassland,A12,vegetation_naturalsemi,herbaceous_closedtoopen
180,shrubherb_flooded,4,wetland,A24,vegetation_naturalsemi_aquatic,shrubland_flooded
190,urban,5,settlement,B15,artificial_surfaces,artificial_surfaces
120,shrubland,6,other,A12,vegetation_naturalsemi,shrubland_closedtoopen
121,shrubland,6,other,A12,vegetation_naturalsemi,evergreen_thicket
122,shrubland,6,other,A12,vegetation_naturalsemi,deciduous_thicket
140,lichens_mosses,6,other,A12,vegetation_naturalsemi,lichens_mosses
150,sparse_vegetation,6,other,A12,vegetation_naturalsemi,sparse_trees_veg
151,sparse_vegetation,6,other,A12,vegetation_naturalsemi,sparse_trees
152,sparse_vegetation,6,other,A12,vegetation_naturalsemi,sparse_shrubs
153,sparse_vegetation,6,other,A12,vegetation_naturalsemi,herbaceous_sparse
200,bare_ground,6,other,B16,bare,bare
201,bare_ground,6,other,B16,bare,bare
202,bare_ground,6,other,B16,bare,bare
210,water,6,other,B28,inland_waterbodies_snow,water
220,permanent_snow,6,other,B28,inland_waterbodies_snow,permanent_snow
